Sklep   Kwrt1   Kwrt2   Kwrt3   Kwrt4
Sk01    3415    4556    5772    5432
Sk02    1593    1937    2242    2794
Sk03    1976    2056    2240    2085
Sk04    1526    1594    1644    1705
Sk05    1538    1634    1866    1769
Sk06    983     1086    1135    1177
Sk07    1050    1209    1245    977
Sk08    1861    2087    2054    2018
Sk09    1714    2415    2361    2424
Sk10    1320    1621    1624    1551
Sk11    1276    1377    1522    1412
Sk12    1263    1279    1350    1490
Sk13    1271    1417    1583    1513
Sk14    1436    1310    1357    1468
