@relation 'XXXXXXL2 2'

@attribute 'status pozyczki' {splacona_cz,odmowa,splacona,windykacja_sp,windykacja}
@attribute 'kwota kredytu' numeric
@attribute wiek numeric
@attribute plec {mezczyzna,kobieta}
@attribute 'rodzaj zrodla dochodu' numeric
@attribute 'miesieczny dochod netto' numeric
@attribute 'ktore rolowanie' numeric
@attribute 'okres w jakim pobieral dochod' numeric
@attribute 'okres w jakim bedzie pobieral dochod' numeric
@attribute 'opoznienie splaty' numeric

@data
splacona_cz,700,74,mezczyzna,13,2098,0,196,48,3
splacona_cz,400,59,kobieta,16,1411,0,63,48,4
splacona_cz,800,58,kobieta,17,684,0,188,24,0
splacona_cz,500,58,mezczyzna,17,485,0,141,48,7
splacona_cz,400,66,kobieta,13,1137.19,0,93,48,0
odmowa,800,43,mezczyzna,12,1050,0,2,0,0
splacona_cz,400,46,kobieta,11,3170,0,285,48,0
splacona_cz,500,60,kobieta,13,1212,0,50,48,0
splacona,600,47,kobieta,12,830.46,0,41,31,0
splacona_cz,200,61,kobieta,13,1065,0,17,48,4
splacona_cz,900,47,kobieta,11,5800,0,51,48,0
splacona_cz,400,60,mezczyzna,13,1503,0,163,48,1
splacona_cz,300,61,kobieta,13,1684,0,16,48,0
splacona_cz,450,71,kobieta,13,640,0,136,48,0
splacona_cz,800,79,kobieta,13,2421.55,0,244,48,0
splacona_cz,800,59,mezczyzna,11,1000,0,60,48,0
splacona_cz,300,33,mezczyzna,11,1800,0,163,48,1
splacona_cz,285.97,61,kobieta,13,1189,0,66,48,0
splacona_cz,700,58,mezczyzna,11,1510,0,164,48,0
splacona_cz,300,57,kobieta,11,1680,0,386,48,0
splacona_cz,500,53,kobieta,16,655,0,27,48,0
splacona,300,39,kobieta,17,646,0,51,4,16
splacona_cz,600,41,mezczyzna,11,2100,0,283,48,16
splacona,300,38,kobieta,11,2825,0,94,48,0
splacona_cz,600,49,kobieta,11,2800,0,319,48,1
splacona,524.09,71,kobieta,13,3541.9,0,124,48,31
splacona_cz,300,62,kobieta,13,1130,0,100,48,0
splacona_cz,600,32,kobieta,11,1290,0,15,48,0
splacona_cz,200,54,mezczyzna,12,988,0,5,7,1
splacona_cz,800,29,mezczyzna,12,1800,0,4,6,0
splacona_cz,903.23,36,kobieta,11,1900,0,177,48,2
odmowa,400,49,mezczyzna,17,693,0,15,20,0
windykacja_sp,600,31,mezczyzna,12,1655.76,0,54,7,492
splacona_cz,300,61,kobieta,13,997,0,76,48,0
splacona_cz,400,65,kobieta,13,850,0,64,48,2
odmowa,500,55,kobieta,13,968.87,0,10,48,0
splacona_cz,300,34,kobieta,12,1200,0,4,9,1
splacona_cz,200,49,mezczyzna,11,1400,0,10,48,0
splacona_cz,500,71,mezczyzna,13,1700,0,10,48,1
splacona_cz,1000,28,mezczyzna,12,1800,0,6,0,2
splacona,300,79,kobieta,13,1167.94,0,370,48,0
splacona_cz,721.94,57,kobieta,12,1680,1,67,0,2
splacona_cz,500,28,kobieta,12,1447,1,17,6,1
splacona_cz,400,65,kobieta,13,930,1,128,48,0
windykacja_sp,500,61,mezczyzna,13,1420.41,1,20,48,484
splacona_cz,250,60,kobieta,13,810,1,29,48,0
splacona_cz,400,40,kobieta,11,1087,0,237,48,17
splacona_cz,500,52,mezczyzna,11,1320,0,343,48,1
splacona_cz,400,64,kobieta,13,1015,1,106,48,6
splacona_cz,700,52,mezczyzna,11,3200,0,188,48,0
odmowa,200,63,kobieta,13,544.63,0,65,48,0
splacona_cz,500,62,kobieta,16,1340,0,159,48,0
splacona_cz,200,46,mezczyzna,11,1360,1,117,48,0
splacona_cz,1000,53,mezczyzna,11,4000,1,6,48,1
splacona,408.77,32,kobieta,11,2050,1,25,48,0
splacona_cz,200,49,kobieta,12,2000,1,31,24,0
splacona,200,53,kobieta,17,432.87,0,143,5,41
splacona_cz,300,60,mezczyzna,11,3000,1,211,48,3
splacona_cz,200,24,mezczyzna,12,1000,1,8,17,0
splacona_cz,449.7,22,mezczyzna,99,980,1,7,0,0
splacona_cz,200,65,kobieta,13,665.92,1,123,48,4
splacona,500,70,kobieta,13,1667,0,154,48,0
splacona_cz,300,48,mezczyzna,13,3900,1,26,48,0
splacona,200,51,kobieta,16,685,0,37,48,0
splacona_cz,200,68,kobieta,16,959.6,0,113,48,0
splacona,400,65,kobieta,13,1031,0,119,48,0
splacona_cz,600,38,kobieta,11,1800,0,48,48,5
splacona_cz,432.44,69,kobieta,13,1072,1,151,48,1
splacona_cz,200,20,mezczyzna,17,985,1,9,2,1
splacona_cz,200,26,mezczyzna,11,1136.8,0,5,48,0
splacona_cz,200,37,kobieta,99,2800,1,6,0,0
windykacja_sp,200,47,kobieta,11,770,1,100,48,449
splacona_cz,300,19,mezczyzna,99,750,0,0,5,0
splacona_cz,800,59,kobieta,11,2670,1,85,48,6
splacona_cz,400,62,mezczyzna,16,1313.41,0,23,48,0
splacona_cz,700,69,kobieta,13,2291,1,67,48,0
splacona_cz,400,58,kobieta,13,1454.91,0,38,48,0
splacona_cz,700,41,mezczyzna,11,2258,1,72,48,0
splacona_cz,500,60,kobieta,13,1362,1,53,48,4
splacona,662.69,29,mezczyzna,11,2837,1,124,48,12
splacona_cz,200,61,kobieta,13,714,1,221,48,3
splacona_cz,200,74,kobieta,13,1026,1,247,48,1
odmowa,200,59,mezczyzna,15,482.94,0,149,48,0
splacona_cz,400,64,mezczyzna,13,1261.6,0,50,48,0
splacona_cz,200,79,kobieta,13,1442.43,1,139,48,0
splacona_cz,600,55,mezczyzna,16,588,1,424,48,0
windykacja,200,20,kobieta,12,1600,0,0,2,2692
splacona_cz,352.42,62,kobieta,13,1668,1,88,48,0
splacona,300,48,kobieta,11,980,0,198,48,0
splacona,300,49,mezczyzna,12,1000,1,39,23,0
splacona_cz,300,24,mezczyzna,17,926,1,52,2,7
splacona_cz,300,57,kobieta,13,1240,1,67,48,1
splacona_cz,520.7,24,mezczyzna,17,926,1,52,2,7
splacona,888.47,75,kobieta,13,1377.23,1,257,48,150
windykacja,200,40,mezczyzna,12,1000,1,2,1,2692
splacona_cz,400,29,mezczyzna,11,1888.27,0,74,48,0
splacona,400,24,mezczyzna,11,1110,0,6,48,0
splacona_cz,300,70,kobieta,13,865,1,125,48,10
splacona_cz,500,53,kobieta,16,1045.6,1,8,48,0
splacona_cz,400,28,mezczyzna,12,900,1,14,6,1
splacona_cz,673.09,63,kobieta,13,930,1,91,48,5
splacona,400,55,mezczyzna,11,1600,0,45,48,406
splacona_cz,500,49,mezczyzna,11,3250,0,1,48,3
