@relation 'XXXXXXL3 2'

@attribute 'kwota kredytu' numeric
@attribute wiek numeric
@attribute plec {mezczyzna,kobieta}
@attribute 'rodzaj zrodla dochodu' numeric
@attribute 'miesieczny dochod netto' numeric
@attribute 'ktore rolowanie' numeric
@attribute 'okres w jakim pobieral dochod' numeric
@attribute 'okres w jakim bedzie pobieral dochod' numeric
@attribute 'opoznienie splaty' numeric

@data
700,74,mezczyzna,13,2098,0,196,48,3
400,59,kobieta,16,1411,0,63,48,4
800,58,kobieta,17,684,0,188,24,0
500,58,mezczyzna,17,485,0,141,48,7
400,66,kobieta,13,1137.19,0,93,48,0
400,46,kobieta,11,3170,0,285,48,0
500,60,kobieta,13,1212,0,50,48,0
600,47,kobieta,12,830.46,0,41,31,0
200,61,kobieta,13,1065,0,17,48,4
900,47,kobieta,11,5800,0,51,48,0
400,60,mezczyzna,13,1503,0,163,48,1
300,61,kobieta,13,1684,0,16,48,0
450,71,kobieta,13,640,0,136,48,0
800,79,kobieta,13,2421.55,0,244,48,0
800,59,mezczyzna,11,1000,0,60,48,0
300,33,mezczyzna,11,1800,0,163,48,1
285.97,61,kobieta,13,1189,0,66,48,0
700,58,mezczyzna,11,1510,0,164,48,0
300,57,kobieta,11,1680,0,386,48,0
500,53,kobieta,16,655,0,27,48,0
300,39,kobieta,17,646,0,51,4,16
600,41,mezczyzna,11,2100,0,283,48,16
300,38,kobieta,11,2825,0,94,48,0
600,49,kobieta,11,2800,0,319,48,1
524.09,71,kobieta,13,3541.9,0,124,48,31
300,62,kobieta,13,1130,0,100,48,0
600,32,kobieta,11,1290,0,15,48,0
200,54,mezczyzna,12,988,0,5,7,1
800,29,mezczyzna,12,1800,0,4,6,0
600,31,mezczyzna,12,1655.76,0,54,7,492
300,61,kobieta,13,997,0,76,48,0
400,65,kobieta,13,850,0,64,48,2
300,34,kobieta,12,1200,0,4,9,1
200,49,mezczyzna,11,1400,0,10,48,0
500,71,mezczyzna,13,1700,0,10,48,1
300,79,kobieta,13,1167.94,0,370,48,0
721.94,57,kobieta,12,1680,1,67,0,2
500,28,kobieta,12,1447,1,17,6,1
400,65,kobieta,13,930,1,128,48,0
500,61,mezczyzna,13,1420.41,1,20,48,484
250,60,kobieta,13,810,1,29,48,0
400,40,kobieta,11,1087,0,237,48,17
500,52,mezczyzna,11,1320,0,343,48,1
400,64,kobieta,13,1015,1,106,48,6
700,52,mezczyzna,11,3200,0,188,48,0
500,62,kobieta,16,1340,0,159,48,0
200,46,mezczyzna,11,1360,1,117,48,0
408.77,32,kobieta,11,2050,1,25,48,0
200,49,kobieta,12,2000,1,31,24,0
200,53,kobieta,17,432.87,0,143,5,41
300,60,mezczyzna,11,3000,1,211,48,3
200,24,mezczyzna,12,1000,1,8,17,0
449.7,22,mezczyzna,99,980,1,7,0,0
200,65,kobieta,13,665.92,1,123,48,4
500,70,kobieta,13,1667,0,154,48,0
300,48,mezczyzna,13,3900,1,26,48,0
200,51,kobieta,16,685,0,37,48,0
200,68,kobieta,16,959.6,0,113,48,0
400,65,kobieta,13,1031,0,119,48,0
600,38,kobieta,11,1800,0,48,48,5
432.44,69,kobieta,13,1072,1,151,48,1
200,20,mezczyzna,17,985,1,9,2,1
200,26,mezczyzna,11,1136.8,0,5,48,0
200,37,kobieta,99,2800,1,6,0,0
200,47,kobieta,11,770,1,100,48,449
300,19,mezczyzna,99,750,0,0,5,0
800,59,kobieta,11,2670,1,85,48,6
400,62,mezczyzna,16,1313.41,0,23,48,0
700,69,kobieta,13,2291,1,67,48,0
400,58,kobieta,13,1454.91,0,38,48,0
700,41,mezczyzna,11,2258,1,72,48,0
500,60,kobieta,13,1362,1,53,48,4
662.69,29,mezczyzna,11,2837,1,124,48,12
200,61,kobieta,13,714,1,221,48,3
