@relation 'XXXXXXL2 2-weka.filters.unsupervised.attribute.MergeManyValues-C1-Ldobry-R1,3-weka.filters.unsupervised.attribute.MergeManyValues-C1-Lzly-R1,2,3-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Reorder-R2-9,1-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-R2-precision6'

@attribute 'kwota kredytu' numeric
@attribute wiek {'\'(-inf-30.4]\'','\'(30.4-42.8]\'','\'(42.8-55.2]\'','\'(55.2-67.6]\'','\'(67.6-inf)\''}
@attribute plec {mezczyzna,kobieta}
@attribute 'rodzaj zrodla dochodu' numeric
@attribute 'miesieczny dochod netto' numeric
@attribute 'ktore rolowanie' numeric
@attribute 'okres w jakim pobieral dochod' numeric
@attribute 'okres w jakim bedzie pobieral dochod' numeric
@attribute 'status pozyczki' {dobry,zly}

@data
700,'\'(67.6-inf)\'',mezczyzna,13,2098,0,196,48,dobry
400,'\'(55.2-67.6]\'',kobieta,16,1411,0,63,48,dobry
800,'\'(55.2-67.6]\'',kobieta,17,684,0,188,24,dobry
500,'\'(55.2-67.6]\'',mezczyzna,17,485,0,141,48,dobry
400,'\'(55.2-67.6]\'',kobieta,13,1137.19,0,93,48,dobry
800,'\'(42.8-55.2]\'',mezczyzna,12,1050,0,2,0,zly
400,'\'(42.8-55.2]\'',kobieta,11,3170,0,285,48,dobry
500,'\'(55.2-67.6]\'',kobieta,13,1212,0,50,48,dobry
600,'\'(42.8-55.2]\'',kobieta,12,830.46,0,41,31,dobry
200,'\'(55.2-67.6]\'',kobieta,13,1065,0,17,48,dobry
900,'\'(42.8-55.2]\'',kobieta,11,5800,0,51,48,dobry
400,'\'(55.2-67.6]\'',mezczyzna,13,1503,0,163,48,dobry
300,'\'(55.2-67.6]\'',kobieta,13,1684,0,16,48,dobry
450,'\'(67.6-inf)\'',kobieta,13,640,0,136,48,dobry
800,'\'(67.6-inf)\'',kobieta,13,2421.55,0,244,48,dobry
800,'\'(55.2-67.6]\'',mezczyzna,11,1000,0,60,48,dobry
300,'\'(30.4-42.8]\'',mezczyzna,11,1800,0,163,48,dobry
285.97,'\'(55.2-67.6]\'',kobieta,13,1189,0,66,48,dobry
700,'\'(55.2-67.6]\'',mezczyzna,11,1510,0,164,48,dobry
300,'\'(55.2-67.6]\'',kobieta,11,1680,0,386,48,dobry
500,'\'(42.8-55.2]\'',kobieta,16,655,0,27,48,dobry
300,'\'(30.4-42.8]\'',kobieta,17,646,0,51,4,dobry
600,'\'(30.4-42.8]\'',mezczyzna,11,2100,0,283,48,dobry
300,'\'(30.4-42.8]\'',kobieta,11,2825,0,94,48,dobry
600,'\'(42.8-55.2]\'',kobieta,11,2800,0,319,48,dobry
524.09,'\'(67.6-inf)\'',kobieta,13,3541.9,0,124,48,dobry
300,'\'(55.2-67.6]\'',kobieta,13,1130,0,100,48,dobry
600,'\'(30.4-42.8]\'',kobieta,11,1290,0,15,48,dobry
200,'\'(42.8-55.2]\'',mezczyzna,12,988,0,5,7,dobry
800,'\'(-inf-30.4]\'',mezczyzna,12,1800,0,4,6,dobry
903.23,'\'(30.4-42.8]\'',kobieta,11,1900,0,177,48,dobry
400,'\'(42.8-55.2]\'',mezczyzna,17,693,0,15,20,zly
600,'\'(30.4-42.8]\'',mezczyzna,12,1655.76,0,54,7,zly
300,'\'(55.2-67.6]\'',kobieta,13,997,0,76,48,dobry
400,'\'(55.2-67.6]\'',kobieta,13,850,0,64,48,dobry
500,'\'(42.8-55.2]\'',kobieta,13,968.87,0,10,48,zly
300,'\'(30.4-42.8]\'',kobieta,12,1200,0,4,9,dobry
200,'\'(42.8-55.2]\'',mezczyzna,11,1400,0,10,48,dobry
500,'\'(67.6-inf)\'',mezczyzna,13,1700,0,10,48,dobry
